Species	Presence
Asaccus_andersoni	O
Asaccus_arnoldi	H
Asaccus_caudivolvulus	H
Asaccus_elisae	O
Asaccus_gallagheri	H
Asaccus_gardneri	H
Asaccus_granularis	O
Asaccus_griseonotus	O
Asaccus_iranicus	O
Asaccus_kermanshahensis	O
Asaccus_kurdistanensis	O
Asaccus_margaritae	H
Asaccus_montanus	H
Asaccus_nasrullahi	O
Asaccus_platyrhynchus	H
Asaccus_tangestanensis	O
Asaccus_zagrosicus	O
