Name New_name
S8060 S8060_C
CN3575 CN3575_C
CN201 CN201_C
CN292 CN292_C
CN9 CN9_C
CN23 CN23_C
CN3197 CN3197_C
CN3963 CN3963_C
CN3770 CN3770_C
CN2844 CN2844_C
CN54 CN54_C
CN4236 CN4236_C
CN3915 CN3915_C
CN10042 CN10042_C
S7852 S7852_C
UAE36 UAE36_W
UAE9 UAE9_W
CN916 CN916_W
CN8679 CN8679_W
CN7969 CN7969_W
CN8356 CN8356_W
UAE10 UAE10_W
UAE11 UAE11_W
UAE19 UAE19_W
UAE14 UAE14_W
UAE15 UAE15_W
UAE13 UAE13_W
UAE7 UAE7_W
UAE8 UAE8_W
CN1022 CN1022_O
S3005 S3005_O
S5149 S5149_O
