Name New_name
CN3291 CN3291_C
CN3932 CN3932_C
CN3752 CN3752_C
CN263 CN263_C
CN2829 CN2829_C
CN3351 CN3351_C
CN667 CN667_C
CN5724 CN5724_C
CAS225340 CAS225340_C
SS9_10 SS9-10_C
CN2832 CN2832_E
CN3868 CN3868_E
CN846 CN846_E
CN725 CN725_E
S7684 S7684_E
S7618 S7618_E
SS9_11 SS9-11_E
CN7234 CN7234_E
CN7665 CN7665_O
CN3672 CN3672_O
CN2640 CN2640_O
CN8691 CN8691_W
