Name New_name
S7661b S7661b_C
S7271 S7271_C
CN7290 CN7290_C
CN3559 CN3559_C
CN5956 CN5956_C
CN2597 CN2597_C
CN2870 CN2870_C
CN5949 CN5949_C
CN7030 CN7030_C
CN2658 CN2658_C
CN5845 CN5845_C
CN2787 CN2787_C
CN3707 CN3707_C
CN2636 CN2636_C
CN4295 CN4295_C
AO19 AO19_C
AO71 AO71_C
S1973 S1973_C
CN8962 CN8962_C
CN150 CN150_C
CN7214 CN7214_C
S7876 S7876_C
CN518 CN518_O
CN519 CN519_O
