Species_name	Comments_bernat	H	O
Gallotia galloti palmae	Backbone	0	1
Gallotia intermedia	Backbone	0	1
Gallotia simonyi	Backbone	0	1
Gambelia wislizenii	Backbone	0	1
Geocalamus acutus	Backbone	0	1
Gerrhopilus mirus	Backbone	0	1
Heloderma suspectum	Backbone	0	1
Homalopsis buccata	Backbone	0	1
Hydrosaurus amboinensis	Backbone	0	1
Indotyphlops braminus	Backbone	0	1
Intellagama lesueurii	Backbone	0	1
Lanthanotus borneensis	Backbone	0	1
Leiocephalus barahonensis	Backbone	0	1
Leiolepis belliana	Backbone	0	1
Liotyphlops albirostris	Backbone	0	1
Loxocemus bicolor	Backbone	0	1
Lytorhynchus diadema	Backbone	0	1
Macrovipera lebetina	Backbone Eastern mediterranean	0	1
Malayopython reticulatus	Backbone	0	1
Malpolon moilensis	Backbone	0	1
Naultinus gemmeus	Backbone	0	1
Oedodera marmorata	Backbone	0	1
Mesalina adramitana	Genus Hajars	0	1
Mesalina austroarabica	Genus Hajars	0	1
Mesalina brevirostris	Genus Hajars	0	1
Myriopholis macrorhyncha	Backbone	0	1
Phelsuma inexpectata	Backbone	0	1
Phelsuma ornata	Backbone	0	1
Naja kaouthia	Backbone	0	1
Naja nigricollis	Backbone	0	1
Namazonurus namaquensis	Backbone	0	1
Omanosaura cyanura	Hajars	1	0
Omanosaura jayakari	Hajars	1	0
Pareas carinatus	Backbone	0	1
Petrosaurus mearnsi	Backbone	0	1
Phrynosoma cornutum	Backbone	0	1
Phymaturus palluma	Backbone	0	1
Pristurus abdelkuri	Genus Hajars	0	1
Pristurus adrarensis	Genus Hajars	0	1
Pristurus carteri	Genus Hajars	0	1
Pristurus celerrimus	Hajars	1	0
Pristurus collaris	Genus Hajars	0	1
Pristurus crucifer	Genus Hajars	0	1
Pristurus flavipunctatus	Genus Hajars	0	1
Pristurus gallagheri	Hajars	1	0
Pristurus guichardi	Genus Hajars	0	1
Pristurus insignis	Genus Hajars	0	1
Pristurus insignoides	Genus Hajars	0	1
Pristurus masirahensis	Genus Hajars	0	1
Pristurus minimus	Genus Hajars	0	1
Pristurus obsti	Genus Hajars	0	1
Pristurus ornithocephalus	Genus Hajars	0	1
Pristurus phillipsii	Genus Hajars	0	1
Pristurus popovi	Genus Hajars	0	1
Pristurus rupestris	Hajars	1	0
Pristurus samhaensis	Genus Hajars	0	1
Pristurus sokotranus	Genus Hajars	0	1
Pristurus somalicus	Genus Hajars	0	1
Pristurus sp1	Genus Hajars	0	1
Pristurus sp10	Genus Hajars	0	1
Pristurus sp11	Genus Hajars	0	1
Pristurus sp12	Genus Hajars	0	1
Pristurus sp2	Hajars	1	0
Pristurus sp3	Hajars	1	0
Pristurus sp4	Hajars	1	0
Pristurus sp5	Hajars	1	0
Pristurus sp6	Genus Hajars	0	1
Pristurus sp7	Genus Hajars	0	1
Pristurus sp8	Genus Hajars	0	1
Pristurus sp9	Genus Hajars	0	1
Platyceps  rhodorachis	HAJARS_no_endem	0	1
Plica plica	Backbone	0	1
Podarcis lilfordi	Backbone	0	1
Podarcis pityusensis	Backbone	0	1
Pogona vitticeps	Backbone	0	1
Polychrus marmoratus	Backbone	0	1
Porthidium arcosae	Backbone	0	1
Porthidium nasutum	Backbone	0	1
Ptyodactylus ananjevae	Genus Hajars	0	1
Ptyodactylus dhofarensis	Genus Hajars	0	1
Ptyodactylus guttatus	Genus Hajars	0	1
Ptyodactylus hasselquistii	Genus Hajars	0	1
Ptyodactylus orlovi	Hajars	1	0
Ptyodactylus oudrii	Genus Hajars	0	1
Ptyodactylus puiseuxi	Genus Hajars	0	1
Ptyodactylus ragazzii	Genus Hajars	0	1
Ptyodactylus ruusaljibalicus	Hajars	1	0
Ptyodactylus siphonorhina	Genus Hajars	0	1
Ptyodactylus sp. 1	Genus Hajars	0	1
Ptyodactylus sp. 2	Genus Hajars	0	1
Ptyodactylus sp. 3	Genus Hajars	0	1
Ptyodactylus sp. 4	Genus Hajars	0	1
Ptyodactylus sp. 5	Genus Hajars	0	1
Ptyodactylus togoensis	Genus Hajars	0	1
Rhacodactylus leachianus	Backbone	0	1
Psammodromus algirus	Backbone	0	1
Psammophis schokari	Backbone	0	1
Pseudocerastes persicus	HAJARS_no_endem	0	1
Pseudotrapelus aqabensis	Genus Hajars	0	1
Sphaerodactylus elegans	Backbone	0	1
Sphaerodactylus macrolepis	Backbone	0	1
Sphenodon punctatus	Backbone	0	1
Teratoscincus keyserlingii	backbone	0	1
Trachydactylus hajarensis	Hajars	1	0
Trachydactylus spatalurus	Genus Hajars	0	1
Pseudotrapelus chlodnickii	Genus Hajars	0	1
Pseudotrapelus dhofarensis	Genus Hajars	0	1
Pseudotrapelus jensvindumi	Hajars	1	0
Pseudotrapelus neumanni	Genus Hajars	0	1
Woodworthia maculatus	Backbone	0	1
Pseudotrapelus sinaitus	Genus Hajars	0	1
Rhineura floridana	Backbone	0	1
Rhinophis drummondhayi	Backbone	0	1
Saara hardwickii	Backbone	0	1
Scincus mitranus	HAJARS_no_endem	0	1
Scincus scincus conirostris	HAJARS_no_endem	0	1
Shinisaurus crocodilurus	Backbone	0	1
Stenodactylus leptocosymbotes	HAJARS_no_endem	0	1
