Name	name
S8060	C
CN3575	C
CN201	C
CN292	C
CN9	C
CN23	C
CN3197	C
CN3963	C
CN3770	C
CN2844	C
CN54	C
CN4236	C
CN3915	C
CN10042	C
S7852	C
UAE36	W
UAE9	W
CN916	W
CN8679	W
CN7969	W
CN8356	W
UAE10	W
UAE11	W
UAE19	W
UAE14	W
UAE15	W
UAE13	W
UAE7	W
UAE8	W
CN1022	O
S3005	O
S5149	O
