Genus;Species;Species_names_pasted;Species_name;Comments_bernat;H;O;Arabia;NoArabia;;;;;;;;
Ptyodactylus;puiseuxi;Ptyodactylus_puiseuxi;Ptyodactylus puiseuxi;Genus Hajars;0;1;0;1;;;;;;;;
Ptyodactylus;ragazzii;Ptyodactylus_ragazzii;Ptyodactylus ragazzii;Genus Hajars;0;1;0;1;;;;;;;;
Ptyodactylus;ruusaljibalicus;Ptyodactylus_ruusaljibalicus;Ptyodactylus ruusaljibalicus;Hajars;1;0;1;0;;;;;;;;
Ptyodactylus;siphonorhina;Ptyodactylus_siphonorhina;Ptyodactylus siphonorhina;Genus Hajars;0;1;1;0;;;;;;;;
Ptyodactylus;sp1;Ptyodactylus_sp1;Ptyodactylus sp. 1;Genus Hajars;0;1;1;0;;;;;;;;
Ptyodactylus;sp2;Ptyodactylus_sp2;Ptyodactylus sp. 2;Genus Hajars;0;1;1;0;;;;;;;;
Ptyodactylus;sp3;Ptyodactylus_sp3;Ptyodactylus sp. 3;Genus Hajars;0;1;1;0;;;;;;;;
Ptyodactylus;sp4;Ptyodactylus_sp4;Ptyodactylus sp. 4;Genus Hajars;0;1;1;0;;;;;;;;
Ptyodactylus;sp5;Ptyodactylus_sp5;Ptyodactylus sp. 5;Genus Hajars;0;1;1;0;;;;;;;;
Ptyodactylus;togoensis;Ptyodactylus_togoensis;Ptyodactylus togoensis;Genus Hajars;0;1;0;1;;;;;;;;
Rhacodactylus;leachianus;Rhacodactylus_leachianus;Rhacodactylus leachianus;Backbone;0;1;0;1;;;;;;;;
Rhineura;floridana;Rhineura_floridana;Rhineura floridana;Backbone;0;1;0;1;;;;;;;;
Rhinophis;drummondhayi;Rhinophis_drummondhayi;Rhinophis drummondhayi;Backbone;0;1;0;1;;;;;;;;
Saara;hardwickii;Saara_hardwickii;Saara hardwickii;Backbone;0;1;0;1;;;;;;;;
Scincus;mitranus;Scincus_mitranus;Scincus mitranus;HAJARS_no_endem;0;1;1;0;;;;;;;;
Scincus;scincus_conirostris;Scincus_scincus_conirostris;Scincus scincus conirostris;HAJARS_no_endem;0;1;1;0;;;;;;;;
Shinisaurus;crocodilurus;Shinisaurus_crocodilurus;Shinisaurus crocodilurus;Backbone;0;1;0;1;;;;;;;;
Spalerosophis;diadema;Spalerosophis_diadema;Spalerosophis diadema cliffordii;HAJARS_no_endem;0;1;1;0;;;;;;;;
Sphaerodactylus;elegans;Sphaerodactylus_elegans;Sphaerodactylus elegans;Backbone;0;1;0;1;;;;;;;;
Sphaerodactylus;macrolepis;Sphaerodactylus_macrolepis;Sphaerodactylus macrolepis;Backbone;0;1;0;1;;;;;;;;
Sphenodon;punctatus;Sphenodon_punctatus;Sphenodon punctatus;Backbone;0;1;0;1;;;;;;;;
Stenodactylus;leptocosymbotes;Stenodactylus_leptocosymbotes;Stenodactylus leptocosymbotes;HAJARS_no_endem;0;1;1;0;;;;;;;;
Stenodactylus;doriae;Stenodactylus_doriae;Stenodactylus doriae;HAJARS_no_endem;0;1;1;0;;;;;;;;
Telescopus;dhara;Telescopus_dhara;Telescopus dhara;HAJARS_no_endem;0;1;1;0;;;;;;;;
Teratoscincus;keyserlingii;Teratoscincus_keyserlingii;Teratoscincus keyserlingii;backbone;0;1;1;0;;;;;;;;
Trachydactylus;hajarensis;Trachydactylus_hajarensis;Trachydactylus hajarensis;Hajars;1;0;1;0;;;;;;;;
Trachydactylus;spatalurus;Trachydactylus_spatalurus;Trachydactylus spatalurus;Genus Hajars;0;1;1;0;;;;;;;;
Trachylepis;tesellata;Trachylepis_tesellata;Trachylepis tessellata;HAJARS_no_endem;0;1;1;0;;;;;;;;
Trapelus;flavimaculatus;Trapelus_flavimaculatus;Trapelus flavimaculatus;HAJARS_no_endem;0;1;1;0;;;;;;;;
Trapelus;boehmei;Trapelus_boehmei;Trapelus boehmei;Backbone;0;1;0;1;;;;;;;;
Trogonodactylus;arabicus;Trogonodactylus_arabicus;Trogonodactylus arabicus;HAJARS_no_endem;0;1;1;0;;;;;;;;
Trogonodactylus;sharqiyahensis;Trogonodactylus_sharqiyahensis;Trogonodactylus sharqiyahensis;HAJARS_no_endem;0;1;1;0;;;;;;;;
Tropidophis;haetianus;Tropidophis_haetianus;Tropidophis haetianus;Backbone;0;1;0;1;;;;;;;;
Uromastyx;aegyptia_aeg;Uromastyx_aegyptia_aeg;Uromastyx aegyptia aegyptia;HAJARS_no_endem;0;1;0;1;;;;;;;;
Uromastyx;aegyptia_lep;Uromastyx_aegyptia_lep;Uromastyx aegyptia leptieni;HAJARS_no_endem;0;1;1;0;;;;;;;;
Uromastyx;aegyptia_mic;Uromastyx_aegyptia_mic;Uromastyx aegyptia microlepis;HAJARS_no_endem;0;1;1;0;;;;;;;;
Uromastyx;benti;Uromastyx_benti;Uromastyx benti;HAJARS_no_endem;0;1;1;0;;;;;;;;
Uromastyx;nigriventris;Uromastyx_nigriventris;Uromastyx nigriventris;HAJARS_no_endem;0;1;0;1;;;;;;;;
Uromastyx;ornata_phi;Uromastyx_ornata;Uromastyx ornata philbyi;HAJARS_no_endem;0;1;1;0;;;;;;;;
Uromastyx;thomasi;Uromastyx_thomasi;Uromastyx thomasi;HAJARS_no_endem;0;1;1;0;;;;;;;;
Urostrophus;vautieri;Urostrophus_vautieri;Urostrophus vautieri;Backbone;0;1;0;1;;;;;;;;
Uta;stansburiana;Uta_stansburiana;Uta stansburiana;Backbone;0;1;0;1;;;;;;;;
Varanus;griseus;Varanus_griseus;Varanus griseus;Backbone;0;1;1;0;;;;;;;;
Varanus;mertensi;Varanus_mertensi;Varanus mertensi;HAJARS_no_endem;0;1;0;1;;;;;;;;
Varanus;mitchelli;Varanus_mitchelli;Varanus mitchelli;HAJARS_no_endem;0;1;0;1;;;;;;;;
Varanus;salvator;Varanus_salvator;Varanus salvator;HAJARS_no_endem;0;1;0;1;;;;;;;;
Woodworthia;maculatus;Woodworthia_maculatus;Woodworthia maculatus;Backbone;0;1;0;1;;;;;;;;
Xantusia;vigilis;Xantusia_vigilis;Xantusia vigilis;Backbone;0;1;0;1;;;;;;;;
Xenodermus;javanicus;Xenodermus_javanicus;Xenodermus javanicus;Backbone;0;1;0;1;;;;;;;;
Xenopeltis;unicolor;Xenopeltis_unicolor;Xenopeltis unicolor;Backbone;0;1;0;1;;;;;;;;
Xenosaurus;grandis;Xenosaurus_grandis;Xenosaurus grandis;Backbone;0;1;0;1;;;;;;;;
Xenotyphlops;grandidieri;Xenotyphlops_grandidieri;Xenotyphlops grandidieri;Backbone;0;1;0;1;;;;;;;;
Zonosaurus;ornatus;Zonosaurus_ornatus;Zonosaurus ornatus;Backbone;0;1;0;1;;;;;;;;
