Genus;Species;Species_names_pasted;Species_name;Comments_bernat;H;O;Arabia;NoArabia;;;;;;;;
Diplometopon;zarudnyi;Diplometopon_zarudnyi;Diplometopon zarudnyi;Backbone;0;1;1;0;;;;;;;;
Dipsosaurus;dorsalis;Dipsosaurus_dorsalis;Dipsosaurus dorsalis;Backbone;0;1;0;1;;;;;;;;
Echis;borkini;Echis_borkini;Echis borkini;Genus Hajars;0;1;1;0;;;;;;;;
Echis;carinatus;Echis_carinatus;Echis carinatus;Genus Hajars;0;1;1;0;;;;;;;;
Echis;coloratus;Echis_coloratus;Echis coloratus;Genus Hajars;0;1;1;0;;;;;;;;
Echis;jogeri;Echis_jogeri;Echis jogeri;Genus Hajars;0;1;0;1;;;;;;;;
Echis;khosatzkii;Echis_khosatzkii;Echis khosatzkii;Genus Hajars;0;1;1;0;;;;;;;;
Echis;leucogaster;Echis_leucogaster;Echis leucogaster;Genus Hajars;0;1;0;1;;;;;;;;
Echis;ocellatus;Echis_ocellatus;Echis ocellatus;Genus Hajars;0;1;0;1;;;;;;;;
Echis;omanensis;Echis_omanensis;Echis omanensis;Hajars;1;0;1;0;;;;;;;;
Echis;pyramidum;Echis_pyramidum;Echis pyramidum;Genus Hajars;0;1;0;1;;;;;;;;
Enyalioides;laticeps;Enyalioides_laticeps;Enyalioides laticeps;Backbone;0;1;0;1;;;;;;;;
Eryx;jayakari;Eryx_jayakari;Eryx jayakari;Backbone;0;1;1;0;;;;;;;;
Eublepharis;macularius;Eublepharis_macularius;Eublepharis macularius;Backbone;0;1;0;1;;;;;;;;
Gallotia;bravoana;Gallotia_bravoana;Gallotia bravoana;Backbone;0;1;0;1;;;;;;;;
Gallotia;caesaris_cae;Gallotia_caesaris_cae;Gallotia caesaris caesaris;Backbone;0;1;0;1;;;;;;;;
Gallotia;caesaris_gom;Gallotia_caesaris_gom;Gallotia caesaris gomerae;Backbone;0;1;0;1;;;;;;;;
Gallotia;galloti_eis;Gallotia_galloti_eis;Gallotia galloti eisentrauti;Backbone;0;1;0;1;;;;;;;;
Gallotia;galloti_pal;Gallotia_galloti_pal;Gallotia galloti palmae;Backbone;0;1;0;1;;;;;;;;
Gallotia;intermedia;Gallotia_intermedia;Gallotia intermedia;Backbone;0;1;0;1;;;;;;;;
Gallotia;simonyi;Gallotia_simonyi;Gallotia simonyi;Backbone;0;1;0;1;;;;;;;;
Gambelia;wislizenii;Gambelia_wislizenii;Gambelia wislizenii;Backbone;0;1;0;1;;;;;;;;
Geocalamus;acutus;Geocalamus_acutus;Geocalamus acutus;Backbone;0;1;0;1;;;;;;;;
Gerrhopilus;mirus;Gerrhopilus_mirus;Gerrhopilus mirus;Backbone;0;1;0;1;;;;;;;;
Heloderma;suspectum;Heloderma_suspectum;Heloderma suspectum;Backbone;0;1;0;1;;;;;;;;
Hemidactylus;adensis;Hemidactylus_adensis;Hemidactylus adensis;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;afarensis;Hemidactylus_afarensis;Hemidactylus afarensis;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;albopunctatus;Hemidactylus_albopunctatus;Hemidactylus albopunctatus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;alfarraji;Hemidactylus_alfarraji;Hemidactylus alfarraji;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;alkiyumii;Hemidactylus_alkiyumii;Hemidactylus alkiyumii;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;angulatus;Hemidactylus_angulatus;Hemidactylus angulatus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;asirensis;Hemidactylus_asirensis;Hemidactylus asirensis;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;awashensis;Hemidactylus_awashensis;Hemidactylus awashensis;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;barbierii;Hemidactylus_barbierii;Hemidactylus barbierii;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;barodanus;Hemidactylus_barodanus;Hemidactylus barodanus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;brasilianus;Hemidactylus_brasilianus;Hemidactylus brasilianus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;citernii;Hemidactylus_citernii;Hemidactylus citernii;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;dawudazraqi;Hemidactylus_dawudazraqi;Hemidactylus dawudazraqi;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;dracaenacolus;Hemidactylus_dracaenacolus;Hemidactylus dracaenacolus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;fasciatus;Hemidactylus_fasciatus;Hemidactylus fasciatus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;festivus;Hemidactylus_festivus;Hemidactylus festivus;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;flaviviridis;Hemidactylus_flaviviridis;Hemidactylus flaviviridis;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;forbesii;Hemidactylus_forbesii;Hemidactylus forbesii;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;foudaii;Hemidactylus_foudaii;Hemidactylus foudaii;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;frenatus;Hemidactylus_frenatus;Hemidactylus frenatus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;funaiolii;Hemidactylus_funaiolii;Hemidactylus funaiolii;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;granchii;Hemidactylus_granchii;Hemidactylus granchii;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;granosus;Hemidactylus_granosus;Hemidactylus granosus;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;granti;Hemidactylus_granti;Hemidactylus granti;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;hajarensis;Hemidactylus_hajarensis;Hemidactylus hajarensis;Hajars;1;0;1;0;;;;;;;;
Hemidactylus;homoeolepis;Hemidactylus_homoeolepis;Hemidactylus homoeolepis;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;imbricatus;Hemidactylus_imbricatus;Hemidactylus imbricatus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;inexpectatus;Hemidactylus_inexpectatus;Hemidactylus inexpectatus;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;inintellectus;Hemidactylus_inintellectus;Hemidactylus inintellectus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;isolepis;Hemidactylus_isolepis;Hemidactylus isolepis;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;jumailiae;Hemidactylus_jumailiae;Hemidactylus jumailiae;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;kurdicus;Hemidactylus_kurdicus;Hemidactylus kurdicus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;laevis;Hemidactylus_laevis;Hemidactylus laevis;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;lanzai;Hemidactylus_lanzai;Hemidactylus lanzai;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;lavadeserticus;Hemidactylus_lavadeserticus;Hemidactylus lavadeserticus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;lemurinus;Hemidactylus_lemurinus;Hemidactylus lemurinus;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;longicephalus;Hemidactylus_longicephalus;Hemidactylus longicephalus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;luqueorum;Hemidactylus_luqueorum;Hemidactylus luqueorum;Hajars;1;0;1;0;;;;;;;;
Hemidactylus;mabouia;Hemidactylus_mabouia;Hemidactylus mabouia;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;macropholis;Hemidactylus_macropholis;Hemidactylus macropholis;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;mandebensis;Hemidactylus_mandebensis;Hemidactylus mandebensis;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;masirahensis;Hemidactylus_masirahensis;Hemidactylus masirahensis;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;mindiae;Hemidactylus_mindiae;Hemidactylus mindiae;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;minutus;Hemidactylus_minutus;Hemidactylus minutus;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;montanus;Hemidactylus_montanus;Hemidactylus montanus;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;ophiolepis;Hemidactylus_ophiolepis;Hemidactylus ophiolepis;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;ophiolepoides;Hemidactylus_ophiolepoides;Hemidactylus ophiolepoides;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;oxyrhinus;Hemidactylus_oxyrhinus;Hemidactylus oxyrhinus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;palaichthus;Hemidactylus_palaichthus;Hemidactylus palaichthus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;pauciporosus;Hemidactylus_pauciporosus;Hemidactylus pauciporosus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;paucituberculatus;Hemidactylus_paucituberculatus;Hemidactylus paucituberculatus;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;persicus;Hemidactylus_persicus;Hemidactylus persicus;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;platycephalus;Hemidactylus_platycephalus;Hemidactylus platycephalus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;platyurus;Hemidactylus_platyurus;Hemidactylus platyurus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;pumilio;Hemidactylus_pumilio;Hemidactylus pumilio;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;robustus;Hemidactylus_robustus;Hemidactylus robustus;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;ruspolii;Hemidactylus_ruspolii;Hemidactylus ruspolii;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;saba;Hemidactylus_saba;Hemidactylus saba;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;shihraensis;Hemidactylus_shihraensis;Hemidactylus shihraensis;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;sinaitus;Hemidactylus_sinaitus;Hemidactylus sinaitus;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;smithi;Hemidactylus_smithi;Hemidactylus smithi;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;somalicus;Hemidactylus_somalicus;Hemidactylus somalicus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;squamulatus;Hemidactylus_squamulatus;Hemidactylus squamulatus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;triedrus;Hemidactylus_triedrus;Hemidactylus triedrus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;turcicus;Hemidactylus_turcicus;Hemidactylus turcicus;Genus Hajars;0;1;0;1;;;;;;;;
Hemidactylus;ulii;Hemidactylus_ulii;Hemidactylus ulii;Genus Hajars;0;1;1;0;;;;;;;;
Hemidactylus;yerburii;Hemidactylus_yerburii;Hemidactylus yerburii;Genus Hajars;0;1;1;0;;;;;;;;
Homalopsis;buccata;Homalopsis_buccata;Homalopsis buccata;Backbone;0;1;0;1;;;;;;;;
Hydrosaurus;amboinensis;Hydrosaurus_amboinensis;Hydrosaurus amboinensis;Backbone;0;1;0;1;;;;;;;;
Indotyphlops;braminus;Indotyphlops_braminus;Indotyphlops braminus;Backbone;0;1;0;1;;;;;;;;
Intellagama;lesueurii;Intellagama_lesueurii;Intellagama lesueurii;Backbone;0;1;0;1;;;;;;;;
Lanthanotus;borneensis;Lanthanotus_borneensis;Lanthanotus borneensis;Backbone;0;1;0;1;;;;;;;;
