Name low mid high
S7661b 0 1 0
S7271 0 1 0
CN7290 0 1 0
CN3559 0 1 0
CN5956 0 1 0
CN2597 0 1 0
CN2870 0 0 1
CN5949 0 0 1
CN7030 0 0 1
CN2658 0 1 0
CN5845 0 1 0
CN2787 0 0 1
CN3707 0 1 0
CN2636 0 1 0
CN4295 0 1 0
AO19 0 1 0
AO71 0 0 1
S1973 0 1 0
CN8962 0 0 1
CN150 0 1 0
CN7214 0 1 0
S7876 0 1 0
CN518 0 1 0
CN519 0 1 0
